Sex,Year,Source,Target,Mortality Type,Value,Cause
Total,2010,Total,Cognitive Disorders,Alzheimer's disease,162652.4175,
Total,2012,Total,Cognitive Disorders,Alzheimer's disease,178063.6615,
Total,2013,Total,Cognitive Disorders,Alzheimer's disease,182994.3327,
Total,2014,Total,Cognitive Disorders,Alzheimer's disease,195396.0949,
Total,2016,Total,Cognitive Disorders,Alzheimer's disease,223838.4304,
Total,2017,Total,Cognitive Disorders,Alzheimer's disease,205878.7046,
Total,2018,Total,Cognitive Disorders,Alzheimer's disease,191033.1798,
Total,2019,Total,Cognitive Disorders,Alzheimer's disease,210565.2375,
Total,2000,Total,Other,HIV-AIDS,21893.19518,
Total,2001,Total,Other,HIV-AIDS,21787.50854,
Total,2002,Total,Other,HIV-AIDS,21555.82337,
Total,2004,Total,Other,HIV-AIDS,20709.30861,
Total,2006,Total,Other,HIV-AIDS,19990.0878,
Total,2007,Total,Other,HIV-AIDS,19999.28357,
Total,2008,Total,Other,HIV-AIDS,18844.80744,
Total,2009,Total,Other,HIV-AIDS,17905.18806,
Total,2010,Total,Other,HIV-AIDS,17180.78643,
Total,2012,Total,Other,HIV-AIDS,15585.74542,
Total,2013,Total,Other,HIV-AIDS,15556.74973,
Total,2014,Total,Other,HIV-AIDS,15070.21308,
Total,2016,Total,Other,HIV-AIDS,14196.00628,
Total,2017,Total,Other,HIV-AIDS,13178.24058,
Total,2018,Total,Other,HIV-AIDS,12661.63923,
Total,2019,Total,Other,HIV-AIDS,12531.39329,
Male,2000,Total,Other,Diseases of the digestive system,254929.2345,
Male,2001,Total,Other,Diseases of the digestive system,264200.1242,
Male,2002,Total,Other,Diseases of the digestive system,264997.0694,
Male,2003,Total,Other,Diseases of the digestive system,265938.0039,
Male,2004,Total,Other,Diseases of the digestive system,256766.3824,
Male,2005,Total,Other,Diseases of the digestive system,252030.2296,
Male,2006,Total,Other,Diseases of the digestive system,253415.0556,
Male,2007,Total,Other,Diseases of the digestive system,256381.8564,
Male,2008,Total,Other,Diseases of the digestive system,257283.2503,
Male,2009,Total,Other,Diseases of the digestive system,259743.2574,
Male,2010,Total,Other,Diseases of the digestive system,258517.5969,
Male,2011,Total,Other,Diseases of the digestive system,253041.2722,
Male,2012,Total,Other,Diseases of the digestive system,253819.0767,
Male,2013,Total,Other,Diseases of the digestive system,253825.8014,
Male,2014,Total,Other,Diseases of the digestive system,250303.0724,
Male,2015,Total,Other,Diseases of the digestive system,251656.3231,
Male,2016,Total,Other,Diseases of the digestive system,256829.1999,
Male,2017,Total,Other,Diseases of the digestive system,243240.7841,
Male,2018,Total,Other,Diseases of the digestive system,230610.3939,
Male,2019,Total,Other,Diseases of the digestive system,235538.1017,
Male,2020,Total,Other,Diseases of the digestive system,225575.4958,
Male,2017,Total,Respiratory System,Tuberculosis,7869.689656,
Female,2019,Total,Other,Diseases of the digestive system,157639.953,
Female,2020,Total,Other,Diseases of the digestive system,146634.3933,
Total,2020,Total,Respiratory System,Diseases of the respiratory system,718655.9608,
Total,2021,Total,Respiratory System,Diseases of the respiratory system,43326.44932,
Male,2000,Total,External Causes,Assault,42445.55096,
Male,2001,Total,External Causes,Assault,43884.91111,
Male,2002,Total,External Causes,Assault,43742.48717,
Male,2003,Total,External Causes,Assault,37846.78662,
Male,2004,Total,External Causes,Assault,36946.43593,
Male,2005,Total,External Causes,Assault,35934.8928,
Male,2006,Total,External Causes,Assault,34773.9672,
Male,2007,Total,External Causes,Assault,31363.97003,
Male,2008,Total,External Causes,Assault,35767.29259,
Male,2009,Total,External Causes,Assault,40472.07353,
Male,2010,Total,External Causes,Assault,43433.10413,
Male,2011,Total,External Causes,Assault,42805.82776,
Male,2012,Total,External Causes,Assault,41307.52516,
Male,2013,Total,External Causes,Assault,38148.15541,
Male,2014,Total,External Causes,Assault,35738.26389,
Male,2015,Total,External Causes,Assault,37126.70572,
Male,2016,Total,External Causes,Assault,40976.52782,
Male,2017,Total,External Causes,Assault,44747.42393,
Male,2018,Total,External Causes,Assault,47632.09756,
Male,2019,Total,External Causes,Assault,47476.46758,
Male,2020,Total,External Causes,Assault,51853.35255,
Male,2021,Total,External Causes,Assault,389.653147,
Total,2021,Total,Cognitive Disorders,Parkinson's disease,6505.309944,
Female,2000,Total,Cancers,Malignant neoplasms of stomach,53208.3739,Malignant neoplasms of stomach
Female,2001,Total,Cancers,Malignant neoplasms of stomach,52880.25079,Malignant neoplasms of stomach
Female,2002,Total,Cancers,Malignant neoplasms of stomach,51644.37569,Malignant neoplasms of stomach
Female,2003,Total,Cancers,Malignant neoplasms of stomach,50738.47974,Malignant neoplasms of stomach
Female,2004,Total,Cancers,Malignant neoplasms of stomach,48671.6534,Malignant neoplasms of stomach
Female,2006,Total,Cancers,Malignant neoplasms of stomach,45509.81282,Malignant neoplasms of stomach
Female,2007,Total,Cancers,Malignant neoplasms of stomach,44708.93697,Malignant neoplasms of stomach
Female,2008,Total,Cancers,Malignant neoplasms of stomach,43738.15163,Malignant neoplasms of stomach
Female,2009,Total,Cancers,Malignant neoplasms of stomach,44686.91567,Malignant neoplasms of stomach
Female,2010,Total,Cancers,Malignant neoplasms of stomach,44074.46025,Malignant neoplasms of stomach
Female,2011,Total,Cancers,Malignant neoplasms of stomach,42865.35384,Malignant neoplasms of stomach
Female,2012,Total,Cancers,Malignant neoplasms of stomach,42292.88664,Malignant neoplasms of stomach
Female,2013,Total,Cancers,Malignant neoplasms of stomach,41231.17298,Malignant neoplasms of stomach
Female,2014,Total,Cancers,Malignant neoplasms of stomach,40874.55975,Malignant neoplasms of stomach
Female,2015,Total,Cancers,Malignant neoplasms of stomach,39036.37113,Malignant neoplasms of stomach
Female,2016,Total,Cancers,Malignant neoplasms of stomach,38312.62859,Malignant neoplasms of stomach
Female,2017,Total,Cancers,Malignant neoplasms of stomach,34505.02411,Malignant neoplasms of stomach
Female,2018,Total,Cancers,Malignant neoplasms of stomach,30333.15672,Malignant neoplasms of stomach
Female,2019,Total,Cancers,Malignant neoplasms of stomach,31677.71615,Malignant neoplasms of stomach
Female,2020,Total,Cancers,Malignant neoplasms of stomach,27225.34646,Malignant neoplasms of stomach
Female,2021,Total,Cancers,Malignant neoplasms of stomach,2224.707445,Malignant neoplasms of stomach
Total,2000,Total,Other,Diseases of the circulatory system,3475489.158,
Total,2001,Total,Other,Diseases of the circulatory system,3592476.268,
Total,2002,Total,Other,Diseases of the circulatory system,3560418.279,
Total,2003,Total,Other,Diseases of the circulatory system,3545492.819,
Total,2004,Total,Other,Diseases of the circulatory system,3324912.37,
Total,2005,Total,Other,Diseases of the circulatory system,3215198.84,
Total,2006,Total,Other,Diseases of the circulatory system,3128392.525,
Total,2007,Total,Other,Diseases of the circulatory system,3099855.788,
Total,2008,Total,Other,Diseases of the circulatory system,3032152.883,
Total,2009,Total,Other,Diseases of the circulatory system,3161225.466,
Total,2010,Total,Other,Diseases of the circulatory system,3125201.617,
Total,2011,Total,Other,Diseases of the circulatory system,2984618.081,
Total,2012,Total,Other,Diseases of the circulatory system,3007332.701,
Total,2013,Total,Other,Diseases of the circulatory system,3004315.602,
Total,2014,Total,Other,Diseases of the circulatory system,2970771.517,
Total,2015,Total,Other,Diseases of the circulatory system,2980592.704,
Total,2016,Total,Other,Diseases of the circulatory system,2918176.192,
Total,2017,Total,Other,Diseases of the circulatory system,2632393.258,
Total,2018,Total,Other,Diseases of the circulatory system,2403216.829,
Total,2019,Total,Other,Diseases of the circulatory system,2532858.279,
Total,2020,Total,Other,Diseases of the circulatory system,2328007.851,
Total,2021,Total,Other,Diseases of the circulatory system,199713.9938,
Total,2003,Total,Other,HIV-AIDS,22016.32708,
Total,2005,Total,Other,HIV-AIDS,20272.31874,
Total,2011,Total,Other,HIV-AIDS,16224.85061,
Total,2015,Total,Other,HIV-AIDS,14692.6521,
Male,2018,Total,Other,Malignant neoplasms,1087391.003,
Male,2019,Total,Other,Malignant neoplasms,1119185.114,
Male,2020,Total,Other,Malignant neoplasms,974556.6067,
Male,2000,Total,Other,Diabetes mellitus,151740.6072,
Male,2001,Total,Other,Diabetes mellitus,160637.7437,
Male,2002,Total,Other,Diabetes mellitus,168702.8381,
Male,2003,Total,Other,Diabetes mellitus,175726.295,
Male,2004,Total,Other,Diabetes mellitus,173165.2176,
Male,2005,Total,Other,Diabetes mellitus,174522.102,
Male,2006,Total,Other,Diabetes mellitus,176275.7781,
Male,2007,Total,Other,Diabetes mellitus,177289.5073,
Male,2008,Total,Other,Diabetes mellitus,178736.3384,
Male,2009,Total,Other,Diabetes mellitus,187233.9173,
Male,2010,Total,Other,Diabetes mellitus,190338.9688,
Male,2012,Total,Other,Diabetes mellitus,194235.0594,
Male,2013,Total,Other,Diabetes mellitus,193920.213,
Male,2014,Total,Other,Diabetes mellitus,194448.7393,
Male,2016,Total,Other,Diabetes mellitus,202646.5034,
Male,2017,Total,Other,Diabetes mellitus,191132.1124,
Male,2018,Total,Other,Diabetes mellitus,175529.8903,
Male,2019,Total,Other,Diabetes mellitus,184984.2803,
Female,2005,Total,Cancers,Malignant neoplasms of bladder,13152.34752,Malignant neoplasms of bladder
Total,2000,Total,Other,Hodgkin’s disease,4642.358047,
Total,2001,Total,Other,Hodgkin’s disease,4816.029063,
Total,2002,Total,Other,Hodgkin’s disease,4691.23431,
Total,2003,Total,Other,Hodgkin’s disease,4816.182137,
Total,2004,Total,Other,Hodgkin’s disease,4801.60979,
Total,2005,Total,Other,Hodgkin’s disease,4393.990715,
Total,2006,Total,Other,Hodgkin’s disease,4615.915959,
Total,2007,Total,Other,Hodgkin’s disease,4547.625841,
Total,2008,Total,Other,Hodgkin’s disease,4212.931298,
Total,2009,Total,Other,Hodgkin’s disease,4699.646567,
Total,2010,Total,Other,Hodgkin’s disease,4456.235776,
Total,2011,Total,Other,Hodgkin’s disease,4289.964273,
Total,2012,Total,Other,Hodgkin’s disease,4550.843429,
Total,2013,Total,Other,Hodgkin’s disease,4382.668066,
Total,2014,Total,Other,Hodgkin’s disease,4438.66265,
Total,2015,Total,Other,Hodgkin’s disease,4269.857439,
Total,2016,Total,Other,Hodgkin’s disease,4001.918344,
Total,2017,Total,Other,Hodgkin’s disease,3797.539484,
Total,2018,Total,Other,Hodgkin’s disease,3336.166729,
Total,2019,Total,Other,Hodgkin’s disease,3464.106422,
Total,2020,Total,Other,Hodgkin’s disease,3075.691043,
Total,2021,Total,Other,Hodgkin’s disease,289.16147,
Total,2021,Total,External Causes,Accidents,22452.25108,
Female,2016,Total,Other,"Pregnancy, childbirth and the puerperium",2459.701829,
Female,2017,Total,Other,"Pregnancy, childbirth and the puerperium",2290.680977,
Female,2018,Total,Other,"Pregnancy, childbirth and the puerperium",1988.506398,
Female,2020,Total,Other,"Pregnancy, childbirth and the puerperium",2425.650822,
Total,2018,Total,Respiratory System,Asthma,11929.74263,
Total,2019,Total,Respiratory System,Asthma,13625.58248,
Total,2020,Total,Respiratory System,Asthma,11495.3223,
Female,2021,Total,Diseases of the Circulatory System,Ischaemic heart diseases,27119.45426,
Total,2019,Total,Cancers,Malignant neoplasms of pancreas,130721.2075,Malignant neoplasms of pancreas
Total,2020,Total,Cancers,Malignant neoplasms of pancreas,118020.5796,Malignant neoplasms of pancreas
Female,2018,Total,Other,Certain infectious and parasitic diseases,66096.53769,
Female,2020,Total,Other,Certain infectious and parasitic diseases,58490.92038,
Female,2005,Total,Cancers,Malignant neoplasms of stomach,46421.95959,Malignant neoplasms of stomach
Female,2021,Total,Other,Certain infectious and parasitic diseases,3941.104605,
Male,2011,Total,Other,Diabetes mellitus,191496.493,
Male,2015,Total,Other,Diabetes mellitus,201981.4726,
Male,2020,Total,Other,Diabetes mellitus,221881.519,
Female,2021,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",9527.325418,"Malignant neoplasms of trachea, bronchus, lung"
Total,2018,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",26948.21439,
Total,2019,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",28046.65475,
Total,2020,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",23721.50359,
Total,2021,Total,Respiratory System,Pneumonia,9972.098787,
Male,2018,Total,Respiratory System,Tuberculosis,7485.362461,
Male,2019,Total,Respiratory System,Tuberculosis,7221.838293,
Male,2020,Total,Respiratory System,Tuberculosis,6105.996564,
Male,2021,Total,Respiratory System,Pneumonia,6790.194946,
Male,2021,Total,Diseases of the Circulatory System,Acute myocardial infarction,14976.66042,
Total,2021,Total,Cancers,Malignant neoplasms of bladder,5235.93025,Malignant neoplasms of bladder
Male,2000,Total,External Causes,Intentional self-harm,90462.63048,
Male,2001,Total,External Causes,Intentional self-harm,93511.31053,
Male,2002,Total,External Causes,Intentional self-harm,95620.13722,
Male,2003,Total,External Causes,Intentional self-harm,98832.78584,
Male,2004,Total,External Causes,Intentional self-harm,96658.40754,
Male,2005,Total,External Causes,Intentional self-harm,94981.02248,
Male,2006,Total,External Causes,Intentional self-harm,93002.79292,
Male,2007,Total,External Causes,Intentional self-harm,94125.58576,
Male,2008,Total,External Causes,Intentional self-harm,96930.91075,
Male,2009,Total,External Causes,Intentional self-harm,102007.0429,
Male,2010,Total,External Causes,Intentional self-harm,101787.7543,
Male,2011,Total,External Causes,Intentional self-harm,101186.476,
Male,2012,Total,External Causes,Intentional self-harm,99515.14843,
Male,2013,Total,External Causes,Intentional self-harm,100262.4609,
Male,2014,Total,External Causes,Intentional self-harm,98755.93114,
Male,2015,Total,External Causes,Intentional self-harm,97163.99887,
Male,2016,Total,External Causes,Intentional self-harm,95289.51004,
Male,2017,Total,External Causes,Intentional self-harm,93274.59129,
Male,2018,Total,External Causes,Intentional self-harm,87882.84812,
Male,2019,Total,External Causes,Intentional self-harm,87604.78242,
Male,2020,Total,External Causes,Intentional self-harm,80195.34547,
Female,2000,Total,External Causes,External causes of mortality,150793.9248,
Female,2001,Total,External Causes,External causes of mortality,158536.9937,
Female,2002,Total,External Causes,External causes of mortality,160240.966,
Female,2003,Total,External Causes,External causes of mortality,162380.1678,
Female,2004,Total,External Causes,External causes of mortality,157969.224,
Female,2005,Total,External Causes,External causes of mortality,156819.7931,
Female,2006,Total,External Causes,External causes of mortality,156550.0101,
Female,2007,Total,External Causes,External causes of mortality,156788.5379,
Female,2008,Total,External Causes,External causes of mortality,156543.6866,
Female,2009,Total,External Causes,External causes of mortality,160358.0654,
Female,2010,Total,External Causes,External causes of mortality,162807.8269,
Female,2011,Total,External Causes,External causes of mortality,168627.8149,
